zone_class,centroid_lon,centroid_lat,geometry_type
commercial,72.578271,23.023856,MultiPolygon
commercial,72.584334,23.020489,MultiPolygon
commercial,72.579019,23.013623,MultiPolygon
commercial,72.576999,22.997617,MultiPolygon
commercial,72.55411,23.01988,MultiPolygon
commercial,72.522867,23.011771,MultiPolygon
commercial,72.573657,23.187265,MultiPolygon
commercial,72.573965,23.176785,MultiPolygon
commercial,72.577768,23.020522,MultiPolygon
commercial,72.688155,23.163653,MultiPolygon
commercial,72.630973,22.983087,MultiPolygon
commercial,72.520344,23.05072,MultiPolygon
commercial,72.510271,23.050686,MultiPolygon
commercial,72.572159,23.013675,MultiPolygon
commercial,72.526065,23.026446,MultiPolygon
commercial,72.542492,23.131781,MultiPolygon
commercial,72.542607,23.044704,MultiPolygon
commercial,72.525321,23.026232,MultiPolygon
commercial,72.528294,23.042861,MultiPolygon
commercial,72.527043,23.041038,MultiPolygon
industrial,72.487553,22.980781,MultiPolygon
industrial,72.490449,22.975379,MultiPolygon
industrial,72.495768,22.984437,MultiPolygon
industrial,72.467488,22.954629,MultiPolygon
industrial,72.468351,22.952142,MultiPolygon
industrial,72.472183,22.959799,MultiPolygon
industrial,72.475367,22.958542,MultiPolygon
industrial,72.477566,22.959365,MultiPolygon
industrial,72.477292,22.962107,MultiPolygon
industrial,72.476305,22.963906,MultiPolygon
industrial,72.479483,22.968842,MultiPolygon
industrial,72.466137,22.947454,MultiPolygon
industrial,72.645627,23.064699,MultiPolygon
industrial,72.549576,23.165642,MultiPolygon
industrial,72.639687,22.970002,MultiPolygon
industrial,72.633571,22.970132,MultiPolygon
industrial,72.644805,22.975233,MultiPolygon
industrial,72.639554,22.957305,MultiPolygon
industrial,72.632389,22.979085,MultiPolygon
industrial,72.648436,22.96221,MultiPolygon
industrial,72.614626,22.980431,MultiPolygon
industrial,72.638446,22.935337,MultiPolygon
industrial,72.506256,23.167409,MultiPolygon
industrial,72.586627,23.191356,MultiPolygon
industrial,72.672145,22.902119,MultiPolygon
industrial,72.65574,22.969975,MultiPolygon
industrial,72.727072,22.982517,MultiPolygon
industrial,72.747238,23.096083,MultiPolygon
industrial,72.748838,23.098446,MultiPolygon
industrial,72.749872,23.091841,MultiPolygon
industrial,72.741461,23.105846,MultiPolygon
industrial,72.745978,23.107519,MultiPolygon
industrial,72.742859,23.113603,MultiPolygon
industrial,72.434297,23.150475,MultiPolygon
industrial,72.432269,23.151202,MultiPolygon
industrial,72.446835,23.156696,MultiPolygon
industrial,72.472943,23.129331,MultiPolygon
industrial,72.469097,23.115946,MultiPolygon
industrial,72.453078,23.139551,MultiPolygon
industrial,72.473679,23.136719,MultiPolygon
industrial,72.682153,23.032246,MultiPolygon
industrial,72.474012,23.135245,MultiPolygon
industrial,72.461442,23.121557,MultiPolygon
industrial,72.474304,23.123715,MultiPolygon
industrial,72.6786,23.021238,MultiPolygon
industrial,72.475089,23.131193,MultiPolygon
industrial,72.440735,23.177711,MultiPolygon
industrial,72.622226,23.193582,MultiPolygon
industrial,72.669062,23.153609,MultiPolygon
industrial,72.611644,23.123674,MultiPolygon
industrial,72.669191,23.086334,MultiPolygon
industrial,72.666823,23.095202,MultiPolygon
industrial,72.661811,23.094219,MultiPolygon
industrial,72.568804,23.098857,MultiPolygon
industrial,72.572003,23.090888,MultiPolygon
industrial,72.6046,23.040382,MultiPolygon
industrial,72.614736,23.040473,MultiPolygon
industrial,72.622369,23.045593,MultiPolygon
industrial,72.62816,23.047813,MultiPolygon
industrial,72.654663,23.025928,MultiPolygon
industrial,72.657115,23.018198,MultiPolygon
industrial,72.660504,23.022177,MultiPolygon
industrial,72.589645,23.090859,MultiPolygon
industrial,72.563748,23.105903,MultiPolygon
industrial,72.565715,23.087387,MultiPolygon
industrial,72.540826,23.093911,MultiPolygon
industrial,72.535199,23.092985,MultiPolygon
industrial,72.591911,23.091422,MultiPolygon
industrial,72.564073,23.072205,MultiPolygon
industrial,72.559235,22.973268,MultiPolygon
industrial,72.571136,22.997707,MultiPolygon
